generation_number,min,max,avg,std
0,-5.963579343618446,91.97237888630936,4.465637817750128,23.77612701672504
1,-5.968707559985366,92.13703951986405,31.47311932869011,38.468223169974195
2,-5.886104031450156,92.37237888630936,43.83715160255184,40.204944980701775
3,-5.921578419643816,92.13703951986405,73.76168006156469,32.90993830603296
4,-5.783825182329737,92.17237888630936,66.1844572971208,36.7674850970747
5,-5.783825182329737,92.77065437104557,72.48448107173108,29.95152181419035
6,-5.783825182329737,92.77065437104557,71.99024084978375,31.725478161147088
7,-5.783825182329737,92.77065437104557,75.24751487649452,30.175326951889403
8,-5.786897381366708,92.92700044143626,62.23914214811988,34.99869613452531
9,-5.365976015021851,92.92700044143626,73.01746117394096,30.3874825325958
10,12.225448454455591,93.17065437104556,63.79717098004785,34.31472047438911
11,-5.666426688112432,92.77065437104557,78.39457075061847,25.77657705614795
12,12.225448454455591,92.77065437104557,78.37571656806745,23.806314275653683
13,12.299556426609314,93.52700044143626,82.58054806460477,18.294606608811684
14,11.875316609105795,93.52700044143626,78.99601597861357,24.363206251812414
15,11.836685195965359,92.77065437104557,83.42009425837284,18.43486109265947
16,3.191857510019556,92.77065437104557,85.69521394616233,14.700417189358005
17,57.216174817670264,92.97065437104557,87.92406561828291,8.457392382856758
18,48.21003982910275,92.7750499825186,85.83469679328333,12.051767610094402
19,48.20698639161586,92.77065437104557,86.12250877043806,10.979022544549066
20,48.22855887686998,92.77065437104557,87.10505051695327,11.608305409931651
21,48.31982739098293,92.77065437104557,89.19070501321578,7.662553406163806
22,39.256996812190515,92.77065437104557,88.04895619088904,9.8839222342273
23,48.27968822339259,92.77065437104557,89.33056444172657,7.647060749450939
24,48.23794861721982,92.77065437104557,89.51322440021187,7.664986011163108
25,39.22855887686998,92.77065437104557,89.08548924298721,9.016390066885316
26,66.30290651349459,92.77065437104557,90.47165287753775,5.2388988580636395
27,57.21925648420767,92.77065437104557,89.93751224247511,6.554666654199886
28,66.21003982910274,92.77065437104557,89.75514200790447,6.597441294640242
29,75.21310261863329,92.77065437104557,89.65991025248749,6.104673265449984
30,66.21003982910274,92.77065437104557,88.83483696542858,7.187537908308204
31,39.31982739098293,92.77065437104557,89.58876105317249,7.675484966278322
32,48.32324619773172,92.77065437104557,89.50091964325547,7.931774894801146
33,22.365271011770364,92.77065437104557,87.79593232495091,10.675750490986575
34,66.21310261863329,92.77065437104557,90.32660956001494,6.015444617420934
35,48.24425778641309,92.77065437104557,89.8182545588046,8.175064072011766
36,66.21617481767026,92.77065437104557,90.31708787071662,5.685948143310508
37,48.32324619773172,92.77065437104557,89.46514115535663,7.983131078948468
38,48.31982739098293,92.77065437104557,88.92879483305136,8.502335179163364
39,48.3029065134946,92.77065437104557,90.37134622704559,6.493847932945577
40,48.23480889721515,92.77065437104557,90.36678419908438,6.976119363587785
41,48.22855887686998,92.77065437104557,88.30596409942478,8.454342972513672
42,57.216174817670264,92.77065437104557,90.1957514248227,6.78492415623247
43,66.21003982910274,92.77065437104557,90.66449579327971,5.620184539045216
44,75.21310261863329,92.77065437104557,91.21506929221395,4.419875522175358
45,48.26020708782077,92.77065437104557,88.88027635583973,7.830839996314188
46,66.21310261863329,92.77065437104557,90.08195369498054,6.172684081927276
47,75.21310261863329,92.77065437104557,90.48168709892175,5.118562938941414
48,75.21310261863329,92.77065437104557,89.2889792045526,6.611620334985268
49,75.21310261863329,92.77065437104557,90.66963133985875,5.170561962710794
50,39.31982739098293,92.77065437104557,89.86016387316289,7.826621834756068
