generation_number,min,max,avg,std
0,-6.697034247666484,92.53109579777976,10.085801689585203,30.469158443296113
1,-6.307755278982137,92.34772657195336,49.24220155765966,38.847663807462304
2,-6.309918278226516,93.93109579777976,55.31235741479532,34.93208079703929
3,-5.91350300563827,92.92700044143626,59.50135241617374,34.0889675818777
4,-5.796057750765372,92.57237888630937,63.29059886086583,32.412484021456535
5,-5.905361848054571,92.77065437104557,72.38869801085582,31.84943988752575
6,-5.886104031450156,92.37237888630936,65.03417805773122,35.01851051773976
7,-5.777652323222656,92.53703951986405,68.69275525182303,32.12928073191719
8,-5.783825182329737,92.44704041507838,78.75950901396688,25.45082713036586
9,3.2161748176702627,92.44704041507838,69.15600674603984,30.99812578374289
10,3.260207087820766,92.44704041507838,80.42905994017264,23.702371304074436
11,12.225448454455591,92.53703951986405,74.62153700416607,26.71844178891565
12,12.206986391615857,92.57237888630937,70.37240149517754,27.6599257186588
13,3.2569968121905175,92.53703951986405,67.19159717978147,29.549813305602026
14,3.253796809459847,92.53703951986405,65.67608292904349,29.5137801202987
15,3.2569968121905175,92.44704041507838,67.83320039892953,30.219293518255828
16,-5.746203190540153,92.57237888630937,65.44612794742729,30.169667673973564
17,3.260207087820766,92.57237888630937,71.9669003607656,28.038876831759342
18,-5.783825182329737,92.44704041507838,72.1094001465156,28.19017659277081
19,30.20394224923463,92.57237888630937,70.8057421200133,27.621095040082093
20,3.260207087820766,92.57237888630937,74.96968084403328,26.874378140159305
21,30.20394224923463,92.57237888630937,75.48601545119766,26.313795883643916
22,30.20394224923463,92.57237888630937,78.49679496791747,22.983080883415447
23,30.20394224923463,92.77065437104557,76.93015170062924,23.6763729665799
24,3.231679004206228,92.57237888630937,76.45184111887961,24.967208642434176
25,-5.746203190540153,92.57237888630937,70.79000634522505,27.20092236827718
26,-5.786897381366708,92.64704041507838,73.05872931803437,28.182577801355823
27,3.2131026186332923,92.64704041507838,73.55827491531566,27.811837935229057
28,3.219256484207671,92.64704041507838,72.84580047027426,27.07777358215996
29,3.2161748176702627,92.64704041507838,76.25978824511087,24.086542269294224
30,-5.746203190540153,92.69061166337202,71.52179695265819,30.245468813880006
31,3.2161748176702627,92.93193985886488,78.46875930944276,24.876676497780487
32,3.219256484207671,92.77065437104557,75.20472786442284,27.674719338632013
33,3.219256484207671,92.73193985886488,73.90605879407742,25.408440697503604
34,3.219256484207671,92.77065437104557,79.94463019540575,23.022693956293608
35,3.250607014091747,92.73193985886488,77.52623478599206,23.058048443257125
36,3.206986391615856,92.73193985886488,78.68055781642954,25.986815532301083
37,-5.739792912179234,92.73703951986406,78.71333869624874,25.561488286197637
38,-5.786897381366708,93.33193985886487,73.35029110587269,28.0100889193232
39,3.2161748176702627,92.73193985886488,77.91340487381417,22.764243260228906
40,-5.713732805509369,93.33193985886487,79.8451428378103,25.014460902502865
41,3.260207087820766,93.33193985886487,84.05268535386301,19.36578464290737
42,3.266658723102254,93.33193985886487,81.00801064634476,19.772004286860845
43,3.2161748176702627,93.33193985886487,85.99828016045736,16.03772328662676
44,-5.713732805509369,93.33193985886487,79.30381227514899,24.832100054481508
45,3.2100398291027465,92.73193985886488,80.76877850855949,21.41748525264693
46,12.28626719449063,93.13193985886487,86.16681839016228,13.935734884188696
47,3.266658723102254,93.33193985886487,82.30599595860076,20.336022017527466
48,39.282972298593776,93.33193985886487,84.77457977930142,13.3815201513035
49,39.32324619773172,93.33193985886487,88.83135350968085,9.337483483521062
50,3.260207087820766,93.33193985886487,83.61812091324204,17.75272070714894
