run_number,method,gain_rank_avg,fitness_avg
1,1,90.0,93.97611947915372
2,1,98.0,94.77611947915372
3,1,92.0,94.05250552318655
4,1,98.0,94.78936470590374
5,1,86.0,93.11936107665801
6,1,90.0,93.72700044143625
7,1,90.0,93.93109579777976
8,1,98.0,94.73109579777977
9,1,78.0,92.77611947915372
10,1,88.0,93.52700044143626
