run_number,method,gain_rank_avg,fitness_avg
1,1,93.64000000000006,94.24364980889459
2,1,92.20000000000007,94.12568191096564
3,1,95.32000000000004,94.4587175737762
4,1,97.84000000000002,94.71785161813322
5,1,92.32000000000008,93.95986486976749
6,1,85.12000000000015,93.03824532446569
7,1,85.84000000000015,93.09235774531889
8,1,87.52000000000012,93.47216747498615
9,1,94.48000000000005,94.23184686636785
10,1,78.04000000000022,92.47149775522401
