generation_number,min,max,avg,std
0,37.690260066179945,85.34927233484458,70.36986808805372,9.205308645696674
1,60.92037017256094,87.80557621367383,71.32087741379148,6.429438662750344
2,65.35606313589125,84.91736826302956,73.14898267831275,4.699973476231748
3,64.80879099375109,87.56986467142768,73.71465840836723,4.7595708534727
4,64.40048157146128,86.278169564418,73.30142645613448,5.4611571855099665
5,65.46344021759131,88.79444475492357,74.27433077285582,4.813644568968195
6,66.14311463888743,88.52738158722214,74.69467698304666,4.75372468975593
7,66.05227300218183,88.75436156022766,73.98650860430263,5.24156079646648
8,69.41107959481153,87.95842480045718,76.9173394772953,4.7021104384967485
9,66.65943731393511,88.3916382919054,74.9709033154318,4.697728984600516
10,70.6505747151997,88.76087155330222,76.71250333093752,4.0860233947680165
11,68.65646012418097,88.01786175061491,76.3436508277012,4.547696436534109
12,68.41640906110845,88.1733847653247,76.40254866545341,5.254678529861228
13,66.0361943790827,88.9027358801685,75.93515948170354,6.27416245153521
14,66.45439371662626,87.4993482260918,74.85191048587338,5.4820985420347474
15,67.82131816167063,87.75794134016405,75.52042558767067,4.974712661205555
16,63.164217927387455,87.57350586795818,73.83993656297926,5.781323139200571
17,66.19657201302199,87.73953256344635,75.10171725166904,5.173025969752115
18,68.51956223178183,87.86747624490168,76.53576602454835,4.993699418323314
19,68.67013902449396,87.49457898873678,76.36570125589215,4.899574890004374
20,70.1344044097141,87.81151880449283,77.25285692593754,4.853254412471072
21,68.13429737611857,88.1728539951788,76.65962727944543,5.631310166534407
22,69.77861576803802,87.7017837183915,76.3917383627786,4.603776318065696
23,68.33648495832935,88.11829098100827,76.12310625424985,5.4929452308850815
24,70.3161892396396,88.23747115801967,77.41589867110017,5.035695913870573
25,68.55636253517113,87.9424081868133,76.38253689693225,5.058040407602965
