generation_number,min,max,avg,std
0,42.59392505822703,88.71691531083957,73.56146791214552,10.042535934295046
1,66.46300125267904,88.47441018443108,74.67249046437468,5.093745863659313
2,70.3631210387162,89.11202749107692,76.90165610024704,4.675035592440411
3,65.99913138565788,88.12420887302315,74.65904337861384,5.5455535052248335
4,70.94284703818454,86.91911707307372,77.08455919104826,4.045986670620767
5,69.55918258585676,88.94675709758857,76.82591435717198,4.975278230156952
6,70.5132887914013,88.40350974627742,77.22491045752616,4.643103139696555
7,69.23426533594427,89.56568822578026,78.13734186048741,5.460220568540937
8,70.53137569724065,89.42858226903672,78.04112297336344,4.993813684078687
9,72.12353074728144,89.56479304143713,78.84637971712527,4.719841716305266
10,70.33630391719942,89.19188799776893,77.64401030695966,4.598303471800975
11,68.87609240032285,88.63986945124276,76.71202870274655,5.256195339691421
12,69.99589937803927,88.62545418294522,77.1766692227683,4.6100349965015255
13,70.4045809543916,89.10653538701814,77.35826177676127,4.630916489932053
14,68.54663353638519,90.00039973350543,76.66283308855495,5.095097312911675
15,68.58454350877389,88.94835970775983,77.06240723734135,5.070953969443209
16,70.5257152077306,89.36303439796333,77.70309228100105,4.920972152188927
17,69.04049840188756,89.41257022999278,76.13236956950863,4.721859118017162
18,67.79590579734673,88.22175327267828,75.78486172841403,5.131406056931935
19,64.1705378121928,87.91167382907561,74.19242936630103,6.076052122487067
20,68.02778188682407,86.27834795875233,76.22237845318574,4.838730553040653
21,68.07424273683841,88.95923606696732,76.09533588823284,5.4292865340130225
22,70.77865434388286,89.08224371809067,77.46665883559004,4.98304791884491
23,72.29297913212652,89.29547780121807,78.82161153004131,4.309043978167712
24,71.60731895408952,89.21704390718179,77.46423398133707,4.004457144799617
25,68.11007975808906,88.20010584730122,75.66970653664153,4.868951165026528
