generation_number,min,max,avg,std
0,21.9004921452895,49.67164776423631,39.59587845610113,4.308842319185783
1,43.31395003405651,61.5453519865998,48.01709805400769,4.2351541162995225
2,45.81540168664664,61.5453519865998,51.41930241659628,3.539968067168928
3,45.86201861774251,61.58556978519674,52.07233957771291,3.080783600311482
4,45.96093410530686,59.353039024274665,52.18991178065391,2.967164244781906
5,48.28424504622428,61.61234956187961,53.79861123187109,2.746937190346775
6,48.16448428328357,63.77720931339109,53.2164087111992,3.410760096012565
7,48.27379662759385,61.58073404448596,53.664650560715835,3.1360106701268147
8,45.89057428711463,61.56406120086129,52.034932573983355,3.822382828554273
9,48.13817505098906,61.4933988516656,52.963845879797425,3.2424062280124994
10,48.29639697099062,61.59049746513551,53.3795869303701,3.0853197180764194
11,48.14577506902208,61.58489635106595,53.04329889017059,3.2130352457886504
12,48.20609836459608,63.7370299865033,53.86384718143184,3.9098776388021506
13,48.0338719361143,61.55813370108918,52.80338371895903,3.7099253719198666
14,48.20609836459608,59.421267661021865,53.20681386418598,3.284464120047673
15,48.11201861774251,62.24685807526795,53.7173214042338,3.665310332973087
16,48.20609836459608,64.32079585643199,53.774689794565504,3.3844483906921528
17,50.30067046030177,61.58556978519674,54.41264306517522,3.3682264641570745
18,50.30587124220921,61.58073404448596,54.965375319933486,3.272647161575381
19,48.19066999810474,62.337156681662506,53.73861867496965,3.6657058693190527
20,48.26553583196279,61.58556978519674,53.775246949158785,3.288038633388213
21,48.22483645976506,61.58556978519674,53.594802761153936,3.2601502678320724
22,50.42595634500079,61.58073404448596,54.38881803449188,2.847322964602409
23,48.196494424365234,61.54987290545812,53.434592069523696,3.276372268092376
24,50.38668315797936,61.58073404448596,54.298831150862945,2.9498249381886845
25,48.29639697099062,61.56686057093525,53.818902584610996,3.014200846974282
