generation_number,min,max,avg,std
0,26.607142203496466,52.546557199960134,39.16556965510256,4.251820770075155
1,40.04722029856937,62.08382651779799,44.811884165095925,4.1295163277037314
2,43.543719317442864,68.18438309079548,49.11360524524603,4.413087936518892
3,43.62602312622272,59.43825532649899,49.63775996869828,4.431901811723107
4,45.89614886804124,61.592427976658996,52.125448180192215,3.8053817637564067
5,45.8387884846227,61.58073404448596,51.48572323715725,3.735493219785359
6,48.06296944179998,61.562024830224466,53.15469644929983,3.231777501309678
7,48.08727531217875,61.5453519865998,52.85254400874509,3.552381896909537
8,47.69373552719686,61.541460857464514,52.80388178220502,3.594995612113193
9,46.85594708853293,61.568582119719615,52.822098365606635,3.792293238112131
10,48.10157019911208,61.58073404448596,53.525222890418156,3.523453749094021
11,48.219094767762,61.562969441799964,53.757036624473066,3.4000451067083968
12,48.14509520597296,61.541460857464514,52.949468803813,3.5102807433713425
13,48.21093410530686,61.58556978519674,53.70627066600381,3.3494672209380263
14,50.30587124220921,61.58556978519674,54.01003508296572,3.102416139976952
15,48.21737321897764,61.562969441799964,54.41769795406739,3.491398467400689
16,48.25712378396919,61.55813370108918,53.234972914372136,3.314865106636581
17,48.074185676889016,59.41565498310223,52.93052486634887,3.095514514034506
18,48.21093410530686,61.568582119719615,53.582551994188364,3.3974812951322417
19,48.28252349743991,61.47376259446675,54.45633661868893,3.006503562810066
20,48.28252349743991,61.54598177632284,53.63770217452644,3.085947583778592
21,48.19394643982974,61.58073404448596,53.94308918186607,3.6919052260640934
22,48.18599286761902,61.568582119719615,54.32847798048459,3.4981093861926205
23,50.29761044657815,61.58556978519674,54.661271553609105,3.317598184633886
24,48.19394643982974,61.562969441799964,53.26367494745728,2.852663331093454
25,48.231246692528345,61.58073404448596,53.94024334115335,3.502561366090965
