generation_number,min,max,avg,std
0,-6.2766434893416445,87.13935834262664,3.228232522782086,22.221265845354523
1,-6.2766434893416445,89.48661051127252,30.685259524518134,41.505764396104105
2,-6.2766434893416445,90.07092391510481,30.4805000320917,39.68348440738741
3,-6.302618975744905,90.10657125383506,50.479446415760776,41.196683616497445
4,-6.278521424165844,91.1822642182204,56.63744308606406,41.709184481193155
5,-6.20050917404269,91.36226421822039,60.35940147865479,38.78526166858515
6,-6.173786103901937,92.09297711225776,72.17530424329189,29.715180771858524
7,-6.289715570908998,90.03105438238983,68.43365409099722,33.20069069025099
8,-6.2766434893416445,88.93968822339261,65.98925489726942,35.018317196684094
9,-6.20050917404269,92.1735612249423,64.77430005998058,34.64165937696147
10,-6.20050917404269,91.09003982910276,54.37090933560469,36.40757941534057
11,-5.834810737062605,91.61598249381268,53.39930773952801,34.94735177944152
12,-5.62040086571715,90.33809292906192,58.2790385252838,34.16894130185839
13,-5.805134968916488,91.21356122494231,59.39627867703634,33.74147456224387
14,-5.455321115357702,91.68324619773175,64.57209512280596,32.27299540051031
15,-5.402677381872279,92.08226421822039,55.781359996653784,33.36232972275455
16,-5.707110264748875,92.48234767677737,50.057976897139945,34.041663813054946
17,-5.940171252720432,91.80322890233346,52.82605045402378,35.54181840832862
18,-6.2166061010848646,91.61959913428288,43.09070316534633,34.73452943846294
19,-5.8377304471659395,92.7328282285399,46.918592997795095,34.115180064226735
20,-5.783825182329737,92.10322890233346,35.77088146964092,33.67142153302192
21,-5.883322388488279,91.94353644806851,39.888457963096066,35.20447521954852
22,-5.8944028342648505,93.01825298494037,42.5525851785202,38.1229543110943
23,-6.453624998892692,92.07616819497441,37.08360514547252,32.597731867013444
24,-6.812345094177479,92.27598249381268,39.96965505010585,38.409744276429244
25,-5.978885764901122,92.33237888630939,35.26827120508195,37.19479729783077
26,-5.783825182329737,91.85237888630938,37.05401474693926,37.92845601974792
27,-6.025865973825314,92.11357331188758,35.386897409199854,36.046420878358845
28,-5.846438775057725,92.35504998251861,42.725071429065544,34.6474980033346
29,-6.371611847231857,92.30772932632854,45.62470627955242,36.87829475576495
30,-5.860786223465865,92.8519398588649,45.42968912361826,37.120396519647535
