generation_number,min,max,avg,std
0,-6.313548046277095,91.17167900420625,2.1167076066602593,20.973950814228562
1,-6.214608098422191,88.81968822339262,11.024800843144272,29.558471894554945
2,-6.278521424165844,91.14394224923466,32.56863776938066,40.70603997533081
3,-6.003887067106539,91.0135479947156,36.14640745378691,40.97961663996277
4,-6.129050210060545,89.78661051127251,42.36266773336832,39.48349447369963
5,-5.849324779946859,89.53482255552046,47.61676984155691,41.16870530222546
6,-6.20050917404269,92.09297711225776,52.79689598263881,41.27731444680148
7,-6.202535517187923,90.00322890233346,64.29193877453855,36.18414434243637
8,-6.2766434893416445,90.25968822339262,62.78043026628434,35.94122113735769
9,-6.278521424165844,90.98660195700339,71.6341376916292,28.416952367328008
10,-6.1779441140506,92.4328282285399,57.14114056956013,36.98116293971473
11,-6.267200548541362,93.4542533262868,66.62214591708779,31.778625786959676
12,-6.148468295917647,91.58528862039819,48.96511102092616,39.33882452210428
13,-6.20455776256869,93.57425332628681,49.23428906754943,35.230114265951684
14,-6.359573868672378,91.93703951986407,51.39882077192488,36.47748667522679
15,-6.302618975744905,89.9066105112725,42.16540892482128,33.78119356419857
16,-5.707110264748875,91.27482255552047,54.80355206698268,35.637610602076016
17,-5.929589143389895,91.43353194306673,58.256404735372655,36.35635176919982
18,-5.746203190540153,91.83616819497442,57.74592955135914,35.276877861373684
19,-5.780743515792329,91.2422642182204,56.77884155230586,34.83323195521458
20,-5.762051382780177,91.99504998251862,67.52224829932024,30.863901061793083
21,-5.560681631015528,90.77959913428289,54.745826078073335,32.546094650084946
22,-5.749392985908253,92.7996441749217,55.70629320140113,30.859803226935142
23,-5.8377304471659395,92.27302464366021,58.160885857981285,32.22016082976656
24,-5.8888779583328805,91.99936107665803,46.73428738300018,33.852702306080616
25,-5.991464547107982,91.77679627126204,49.07054831875573,34.95104800249193
26,-5.4510384535657,91.62693855665948,60.82264179913554,32.48411306170371
27,-5.594711379601839,91.49959913428289,64.96311772077354,34.14338374323408
28,-6.84587987526405,91.5196882233926,71.73402062790112,29.4078026505891
29,-6.1779441140506,92.95669509194094,62.41129920198707,33.19973639613737
30,-5.786897381366708,91.71288973525115,57.364543787170085,35.00716014880041
