run_number,method,gain_rank_avg,fitness_avg
1,1,33.2,75.62467281218959
2,1,84.8,93.08077948783206
3,1,82.8,92.6834567566556
4,1,79.2,92.43496366179139
5,1,43.2,82.43504428096068
6,1,75.6,91.9606022418392
7,1,85.6,93.23849297522365
8,1,88.0,93.54250462797222
9,1,83.2,92.77454538180636
10,1,80.8,92.56164607959427
