generation_number,min,max,avg,std
0,-6.78897174299217,91.85873645484158,11.152531158114137,31.600292534008155
1,-6.580639137284949,92.68657125383503,32.374966866733395,40.61365556891801
2,-5.8971538676367405,92.56878821817864,57.389033009819144,38.31630331826422
3,-5.805134968916488,92.77237888630937,65.89866372588723,32.8080774370801
4,-5.846438775057725,92.53357331188757,73.26738802103668,26.3583758243418
5,-5.805134968916488,92.56878821817864,74.90236885127462,27.976940011912934
6,-5.805134968916488,92.69466846406765,73.8286627269795,28.514863796564416
7,-5.814130531825066,92.64317193830047,61.71797807373614,33.551866190264754
8,-5.783825182329737,92.57237888630937,76.90711960051667,25.166285562685022
9,-5.814130531825066,92.64317193830047,77.05731422749099,23.526457859185232
10,-5.814130531825066,92.65873645484157,76.67264830147174,25.15377351914356
11,-5.768320995793772,92.65873645484157,79.8474013357656,22.226776992972223
12,-5.793013608384144,92.76627799644577,84.47351785678406,20.040922724776898
13,-5.771441123130016,92.7750499825186,76.92069706752147,24.264491998049344
14,-5.771441123130016,92.94041448585585,73.25995755040397,25.120617376271994
15,-5.814130531825066,92.76627799644577,74.14993685585968,24.76861520850519
16,-5.793013608384144,92.68657125383503,70.9558364816455,26.815864386504128
17,30.185869468174936,93.32772932632852,75.29101723759544,23.36462317075972
18,-5.771441123130016,93.32772932632852,70.89150382975056,25.942806089358466
19,-5.814130531825066,92.76627799644577,73.21119337087575,29.142160151631412
20,-5.768320995793772,92.76627799644577,74.4338718575052,26.42028933011946
21,-5.783825182329737,93.32772932632852,76.55808771921355,23.210727392997022
22,-5.814130531825066,92.76627799644577,68.20457726223583,31.16804319236793
23,-5.814130531825066,93.32772932632852,70.10221226296119,28.966754201454524
24,-5.814130531825066,93.32772932632852,70.13685357050245,32.42663832640811
25,-5.814130531825066,93.32772932632852,68.09839765245198,35.16230466939019
26,-5.814130531825066,93.32772932632852,72.71796098884379,30.58581607794287
27,-5.814130531825066,93.32772932632852,67.95906645449503,34.502287403320445
28,-5.814130531825066,93.32772932632852,77.28426570760516,26.04219610163324
29,21.228558876869982,93.32772932632852,81.60475089008982,20.078126711316255
30,30.185869468174936,93.32772932632852,78.40470632233942,21.17628389518795
