generation_number,min,max,avg,std
0,-6.289715570908998,91.83547959267732,9.188775089272921,28.46672876487658
1,-6.608000625296087,91.95102576183879,34.88835476920529,38.94483266818098
2,-6.169610732491456,91.96878821817863,53.99107304185539,38.788242258482576
3,-6.617402977974478,92.05873645484156,64.1510524585056,36.89894166252012
4,-5.805134968916488,92.7750499825186,70.46508842052438,35.45447667721569
5,-5.8888779583328805,92.76627799644577,72.56963815162902,31.842829208080968
6,-5.805134968916488,92.53357331188757,68.604158610067,31.94565647245842
7,-5.814130531825066,92.69466846406765,73.75239200919277,30.404855090045125
8,-5.805134968916488,92.9750499825186,68.24843044462096,30.43144834116352
9,-5.75890177387728,92.76627799644577,74.23163008976712,28.010124071042643
10,3.56627799644576,92.65873645484157,73.93362761394255,25.74736843518206
11,-5.8971538676367405,92.76627799644577,74.11069748881465,26.39259879029731
12,-5.3706380281276624,92.94041448585585,79.44473336979817,23.832249601662586
13,21.228558876869982,92.76627799644577,72.77738887888248,25.00411357273292
14,30.185869468174936,92.76627799644577,77.14507247793502,21.818781094446226
15,-5.3981627015177525,92.7361681949744,76.12438217176634,25.812287681579964
16,-5.420534999272286,92.76627799644577,70.83339496267362,26.220873732948522
17,-5.940171252720432,93.32772932632852,71.53511777514841,25.267943778717378
18,3.918595635015537,92.76627799644577,79.29136665578223,21.064195445661397
19,30.185869468174936,92.7750499825186,72.88910909204486,23.592098189103346
20,30.185869468174936,92.76627799644577,74.8325421211305,22.840878773542418
21,21.228558876869982,93.34041448585583,78.28381812377901,22.305709709945067
22,3.1858694681749338,92.64317193830047,74.48980343099277,23.157172129034507
23,30.185869468174936,92.76627799644577,73.80826258562018,23.01489046681654
24,-5.808142489980444,92.76627799644577,73.1579699359485,25.715749795741942
25,-5.805134968916488,93.32772932632852,71.65965109197316,30.319663544138585
26,-5.783825182329737,92.7750499825186,66.45943241551932,32.3644139902252
27,-5.793013608384144,92.65873645484157,72.24650379907817,31.012048118485747
28,-5.805134968916488,92.7750499825186,70.89583069000133,27.38966409864508
29,-5.814130531825066,93.32772932632852,79.37170591433127,25.818944690755156
30,-5.793013608384144,92.7750499825186,76.06550668197904,29.402542932856647
