generation_number,min,max,avg,std
0,-6.54965074223381,91.93357331188756,13.803362251680491,31.495147336301827
1,-6.580639137284949,91.93357331188756,34.56511618830064,38.84609016789795
2,-6.0063531596017325,92.8769900208616,46.69931191562889,42.43889765312319
3,-6.738152494595957,91.93357331188756,48.040220267441235,40.91526670979013
4,-5.877735781779639,92.64317193830047,67.00113795668524,37.194043369268414
5,-5.84354441703136,93.33214184093667,65.74488793265219,37.20249060890017
6,-5.793013608384144,92.26728120673462,64.60155637695651,36.70325252182612
7,-5.910796644040527,92.64317193830047,72.13185875367999,31.348320986220173
8,3.6721238312104187,92.69466846406765,66.1613357818678,32.297568045551884
9,3.5883539481449604,92.56878821817864,72.99891351548713,30.239338721057784
10,-5.793013608384144,93.14041448585584,78.59236956876269,28.566324012208682
11,30.185869468174936,92.65873645484157,87.02688990828729,14.403968999092546
12,-5.805134968916488,93.05289246928254,80.09690618874487,24.699476597945797
13,-5.805134968916488,93.33214184093667,73.36893618537171,27.097454663625346
14,-5.771441123130016,93.54250462797222,68.87110472408149,32.30932266566633
15,-5.424950017481403,93.13214184093668,66.16245280894859,33.374120695580785
16,-5.8944028342648505,93.13214184093668,63.48908926498608,32.71984219575359
17,-5.768320995793772,92.81261419415924,77.20936492847828,26.326473148123146
18,3.6721238312104187,92.93214184093668,77.02235724065133,25.66705542340132
19,3.6721238312104187,93.33214184093667,70.63785037096991,31.260927887975253
20,3.6721238312104187,93.34041448585583,69.67017438413832,29.615545183361437
21,3.237948617219823,93.01261419415926,58.914098495669805,30.916683277612226
22,-5.771441123130016,92.69466846406765,70.57039579383625,31.078543449259328
23,3.6721238312104187,93.14041448585584,74.12923232430626,26.455802784300026
24,-5.771441123130016,92.68657125383503,69.33752999236063,31.581468047867634
25,3.5069385566594518,93.16627799644576,74.29043557462164,28.285009905385774
26,3.6434137253279877,93.01261419415926,68.09654018500628,29.32197954956606
27,-5.805134968916488,93.01261419415926,73.72503639163139,26.961164540933268
28,21.185869468174936,92.76627799644577,73.78414220990662,22.900692492427893
29,3.6721238312104187,92.69466846406765,80.22369553945003,21.406198056441028
30,3.2161748176702627,92.65289246928253,73.93356793087364,25.186534790702854
