generation_number,min,max,avg,std
0,-6.473890696352274,21.10284613236326,-2.5853581698000614,6.366504657047164
1,-6.137727054086234,13.016393378291664,0.8236092071312613,8.226111678315647
2,-6.244166900663736,57.4316554962389,3.3455600052734433,12.55211237370274
3,-6.752270376141742,57.35455310235676,5.869206589167739,11.876584471923888
4,-5.60947179518496,57.25060701409175,6.437312420335231,12.608540085091693
5,-6.558197802812269,75.39052820481504,9.709913338186603,16.331129262785602
6,-5.594711379601839,85.37060701409176,12.168237570459569,17.768156420156252
7,-5.652489180268651,85.8101190770195,16.932947262618498,20.446492295254274
8,-5.572154032177765,86.08784596782226,23.813925149724113,18.43776893577395
9,-4.941642422609304,66.42027017401378,21.78060241743914,18.362604270700025
10,-5.529429087511423,85.31165549623893,24.015711528356068,20.654846082272645
11,-5.583496308781699,85.58626719449066,26.31971582792325,22.975870667574284
12,-5.147494476813453,84.80957298262516,32.01771520589301,22.262465395086746
13,-4.897839799950911,86.12626719449065,36.39251003758179,21.48034595022838
14,-4.919980925828125,86.92254710353532,44.55221493116564,24.676990255156294
15,-4.897839799950911,86.73282822853992,39.00359124860296,23.22368691736121
16,-4.927253685157205,87.04784596782225,44.15389636880407,23.120906341594335
17,-4.770684624465665,86.30626719449066,48.48924182803193,19.38663380418548
18,-4.90527477843843,86.08784596782226,47.157091390842034,21.469157489222564
19,-4.890349128221754,86.80784596782226,47.65096346700495,22.335018709967997
20,-4.897839799950911,87.88784596782226,49.85772602036673,24.736292433305753
21,12.490611663372022,87.33853908213779,56.27520769263732,21.0153344868112
22,-4.820281565605037,86.7928282285399,52.11862802038065,24.952521156781152
23,-4.852030263919617,88.47616819497442,58.0792753977165,24.549424973654084
24,-4.867534450455582,87.64784596782226,56.24478722928747,22.628361608617677
25,-4.90527477843843,86.52322890233346,58.7632866099883,22.443476099312637
26,-4.844187086458591,87.64784596782226,57.4719075986186,22.60138247692015
27,3.8467084055022207,88.35282822853992,55.439232261018,23.923302645653823
28,-5.0238805208462765,86.59703951986407,50.32217413833162,27.129276296611444
29,3.823850267426171,86.65703951986407,54.831281471602026,24.66705346272241
30,3.8352140260764855,88.52835394814498,57.39654098741272,25.676969961973224
