generation_number,min,max,avg,std
0,-7.356918242356021,30.5489615464343,-3.051039346952879,6.6543242675271745
1,-6.18826412308259,48.31982739098293,5.540859892467385,10.226269317389724
2,-6.2324480165505225,57.23167900420623,6.023162284903686,12.358793463348857
3,-6.142037405587356,48.20698639161586,2.8029796693134914,11.05627719871144
4,-7.669961995473577,48.24742736117437,6.095393177297651,12.504030234536517
5,-6.810142450115136,57.299556426609314,9.472837068501363,14.858153139161855
6,-6.248042874508429,48.424050896853686,12.225948166228605,15.284602661137153
7,-5.8916442118257715,57.19185751001956,15.69610319207647,15.981845800835895
8,-5.777652323222656,75.48657125383502,22.473624158124167,19.331339348815533
9,-5.541263545158426,75.42027017401378,22.552501068211303,19.668231445982787
10,-5.849324779946859,66.1363688244019,29.52873595027553,19.278770666017955
11,-5.560681631015528,66.1363688244019,29.006724816021944,17.199223510466314
12,3.8880122116434563,66.1363688244019,33.92591608165467,16.14549994040358
