generation_number,min,max,avg,std
0,-6.785587645007929,93.02168263345199,9.420851117347238,29.001247563497248
1,-6.882437470997847,93.3928282285399,28.444046758866726,41.442917438904004
2,-6.616065185132817,94.43051384715858,64.93770255944881,39.16992054827425
3,-6.683360945766275,94.1176657480352,68.92609771084317,37.859696347429356
4,-6.853299093186078,94.10278772623589,72.67757264353641,34.4845473947125
5,-6.126869184114185,93.99732261812773,81.86860119081935,27.559056987669113
6,-3.9877552789821107,93.93679627126203,84.99861271960943,20.585791758683904
7,2.294360905139997,93.93679627126203,89.03384459112988,14.42104616545583
8,5.43224472101789,94.08420156294974,87.81438657565947,16.382816020190976
9,6.032244721017891,94.14216020004909,88.30763107726081,16.647000281422983
10,2.3128913921334853,94.08420156294974,89.18875287060999,13.102227608347617
11,4.052244721017887,93.93679627126203,86.90755523810702,18.849550397465382
12,2.1920650563000743,94.05639337829167,88.18867777150744,17.78002788497923
13,31.292244721017887,94.52480267679886,90.73821716982738,7.966202360734035
14,-6.610696044717759,94.10956741322127,88.73911501650538,14.97709546025385
15,12.250607014091747,93.9837541946517,89.38851202559195,11.836668750802772
16,4.232244721017887,94.04278772623589,90.92496283507903,8.859050539797359
17,-6.327755278982114,93.99173296930546,81.24067004602972,28.242723187636425
18,-6.642486801367256,94.25250552318656,84.8095731520333,23.749525485636457
19,-6.391917113392602,94.22375419465169,82.55687809646047,25.6515801399716
20,-4.407755278982112,94.06506424239102,88.76811637119829,13.890463967689449
21,-5.967755278982113,94.18670840550223,86.6674550418125,21.955776056663716
22,-6.650279048587422,93.93679627126203,74.43768153693611,36.178315776364435
23,-6.761572768804055,94.28375419465169,73.43076715525049,37.11523330627453
24,-6.495265555937008,94.09719807741364,84.34534048360975,25.480237662415608
25,-6.403574197934815,94.08420156294974,77.99611869440331,32.275712472157025
26,-6.489204931325317,93.97109579777978,76.72685001875672,33.91340696454011
27,-6.416732282512326,94.15740496697305,84.96839048890247,24.168547071199413
28,-6.027755278982114,94.11732261812773,83.98964246556432,25.73987121538071
29,-6.807755278982113,94.42624979919324,87.17204527448555,18.651300786954103
30,39.165189262937396,94.06506424239102,90.59985689488693,7.807428627874109
