generation_number,min,max,avg,std
0,-6.814542897259958,93.93679627126203,12.168271675072965,30.494426585200447
1,-6.762729506931879,93.93679627126203,50.62809287053794,42.09094345993945
2,-6.639875833826536,94.38772657195337,61.426133067448205,41.80341211328496
3,-6.63200177739563,93.93679627126203,58.45069638303256,44.09402680384694
4,-4.887755278982112,93.93679627126203,77.23841558156906,32.65367211558287
5,-4.707755278982113,93.93679627126203,77.17102054032699,30.660059558120324
6,-5.607755278982114,93.93679627126203,78.81132833278448,31.95533983181048
7,-6.567755278982113,93.93679627126203,87.21996683468413,20.665515178743217
8,0.512244721017888,93.93679627126203,87.22439413055946,20.091194784137215
9,-0.08775527898210633,93.93679627126203,89.66831216314016,14.43702569677246
10,0.15224472101789122,94.3759933129232,91.35668503606516,9.247357723947417
11,62.37224472101789,93.93964417492168,91.907168397651,3.2145224225362132
12,-0.867755278982103,93.93679627126203,90.02347661732797,13.216006747611996
13,17.912244721017892,94.38420156294976,91.6290924309275,7.515489619840062
14,-6.744059186311348,94.77014399275048,87.35767208363578,20.2806557355688
15,-5.067755278982114,93.93679627126203,86.76550839948067,21.084066643493635
16,-3.0277552789821085,94.03109579777978,86.06106243494308,21.758681192599564
17,-3.4477552789821093,93.93679627126203,89.31482734893092,14.710060949461937
18,-6.829793737512425,94.00041448585586,88.90568206867427,16.64803913755718
19,-0.3277552789821039,93.96420156294974,91.29568495837061,9.287285763267572
20,-6.508769136971682,94.37051384715858,85.91606221674726,21.59213208351238
21,-6.567755278982113,93.93679627126203,72.61750279217908,37.950107578773306
22,-6.3835066348840055,93.93679627126203,86.96655398152838,20.711321148761854
23,-5.847755278982113,93.93679627126203,83.85004426857785,26.61010979338898
24,38.289476890547576,94.1128282285399,91.64511539130731,5.488726486710288
25,-0.7477552789821029,94.01758228947821,86.43950241808513,20.8491140921096
26,-0.08775527898210633,93.93679627126203,83.25368166542887,26.092376986081486
27,-2.547755278982107,94.30188534076949,82.06484262335063,27.302886721971888
28,1.2322447210178815,93.93679627126203,86.78797986922335,19.52239672701738
29,-0.027755278982106724,93.93679627126203,87.82769898172175,16.855812567861495
30,-3.62775527898211,93.93679627126203,88.34627547476546,17.655157251549102
