generation_number,min,max,avg,std
0,26.47880979847927,82.2181893594961,56.64244378131561,12.761641031721686
1,34.09220256978996,84.5165070817285,64.30117253740907,12.881665159985754
2,40.840825093991796,82.4905833369286,68.02099767911523,9.990137600165191
3,32.05515008203565,85.15728272814033,67.46309568651384,11.876121113711296
4,25.799352474250068,82.76384558812477,65.13726475293177,11.861583216281183
5,19.313270298875146,82.37020442673116,66.04140008909482,12.876345692101062
6,32.26909854540432,84.77882627483139,66.31438212490599,10.872655770296804
7,30.395637641593584,85.92881644607459,68.0936677984794,10.383129069805214
8,10.256539954104037,82.24241678733192,63.50239653538049,15.364036763784961
9,29.716180103947938,82.77289559558946,64.81260835977746,11.525367203272992
10,31.31496791170481,85.22946367356788,64.4311354509674,12.747559161416762
11,25.77107274068711,86.36993802688858,64.06231110351604,13.375871510597952
12,-3.351505745125662,83.73056336556814,62.92903209583028,15.914927758515425
13,1.3612421495198863,84.22061439432204,63.62026793723871,14.213001770309786
14,19.2517995379556,88.81615297226108,61.79635508154596,15.630885856777669
15,-1.0652220425213377,88.69128233265798,61.784022542750506,17.046765418450853
16,25.865454968440982,80.64708046135205,63.44410369333739,12.847525722585644
17,31.80979078767484,86.01215446213976,62.70788827283124,14.177535496499416
18,29.701549905575945,82.58997268188264,61.01581055811253,14.538941148374537
19,-3.2644565616509205,85.36847557998232,67.23341962804702,13.991232618173367
20,23.603895891413327,88.39476855524238,62.50200097604283,14.565392912170285
21,5.646057196994804,88.82298107631654,66.14757920545706,14.935056376405162
22,10.20691402990638,87.48215494080554,66.84980369877496,11.696449613001123
23,42.055541106612736,88.21189800372736,69.22406192932172,11.26263917019419
24,32.10209401517431,89.22621748329797,69.38308985215458,11.26770204824937
25,31.95122898228579,89.08309002178137,68.4819821559618,12.963977991015124
